127.0.0.1 - - [05/Nov/2014:10:59:37 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/lineChartSVGResize.html HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/bootstrap/bootstrapdatetimepicker/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 6466
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 107585
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/nvd3/nvd3.css HTTP/1.1" 200 13603
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/jquery/jquery.js HTTP/1.1" 200 277976
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 31021
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/bootstrap/bootstrapdatetimepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 30030
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/nvd3/d3.v3.js HTTP/1.1" 200 301600
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/nvd3/nv.d3.js HTTP/1.1" 200 467600
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/crossfilter.js HTTP/1.1" 200 38643
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/tooltip.js HTTP/1.1" 200 19674
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/utils.js HTTP/1.1" 200 5053
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/legend.js HTTP/1.1" 200 9574
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/axis.js HTTP/1.1" 200 16138
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/scatter.js HTTP/1.1" 200 23497
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/line.js HTTP/1.1" 200 9096
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/lineWithFocusChart.js HTTP/1.1" 200 17381
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/js/stream_layers.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:48 -0500] "GET /visual/app/scripts/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20335
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:49 -0500] "GET /visual/app/webresources/myresource/testdata HTTP/1.1" 200 4782
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/lineChartSVGResize.html HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/scripts/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 107585
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/scripts/bootstrap/bootstrapdatetimepicker/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 6466
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/scripts/nvd3/nvd3.css HTTP/1.1" 200 13603
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/scripts/bootstrap/bootstrapdatetimepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 30030
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/scripts/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 31021
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:59:54 -0500] "GET /visual/app/scripts/js/crossfilter.js HTTP/1.1" 200 38643
